"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct","oty_month2_emplvl_chg","oty_month2_emplvl_pct","oty_month3_emplvl_chg","oty_month3_emplvl_pct","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct"
"01000","5","55","54","0","2004","1","","Alabama -- Statewide","Private","Management of companies and enterprises","State, NAICS Sector -- by ownership sector","All establishment sizes",523,10451,10454,10397,177343404,86739558,1383066,1307,"",0.94,0.43,0.43,0.43,0.39,0.41,0.38,0.92,"",122,30.4,855,8.9,814,8.4,760,7.9,33995355,23.7,8570557,11.0,206565,17.6,161,14.0
"01000","5","55","54","0","2004","2","","Alabama -- Statewide","Private","Management of companies and enterprises","State, NAICS Sector -- by ownership sector","All establishment sizes",537,10550,10530,10598,145137841,28387803,470824,1057,"",0.96,0.44,0.44,0.44,0.38,0.53,0.53,0.87,"",116,27.6,1004,10.5,928,9.7,1007,10.5,22113149,18.0,4298206,17.8,103880,28.3,69,7.0
"01000","5","55","54","0","2004","3","","Alabama -- Statewide","Private","Management of companies and enterprises","State, NAICS Sector -- by ownership sector","All establishment sizes",553,10670,10639,10650,149019577,16710097,252979,1076,"",0.99,0.44,0.43,0.44,0.40,0.61,0.56,0.91,"",120,27.7,1110,11.6,1111,11.7,1155,12.2,21655271,17.0,3507711,26.6,63009,33.2,48,4.7
"01000","5","55","54","0","2004","4","","Alabama -- Statewide","Private","Management of companies and enterprises","State, NAICS Sector -- by ownership sector","All establishment sizes",574,10658,10634,10716,182383452,14948669,228319,1315,"",1.02,0.44,0.44,0.44,0.41,0.64,0.55,0.94,"",129,29.0,1156,12.2,1072,11.2,1150,12.0,35246744,24.0,3308212,28.4,61901,37.2,129,10.9
"01001","5","55","74","0","2004","1","N","Autauga County, Alabama","Private","Management of companies and enterprises","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.25,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","55","74","0","2004","2","N","Autauga County, Alabama","Private","Management of companies and enterprises","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.25,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","55","74","0","2004","3","N","Autauga County, Alabama","Private","Management of companies and enterprises","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.25,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","55","74","0","2004","4","N","Autauga County, Alabama","Private","Management of companies and enterprises","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.24,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","55","74","0","2004","1","","Baldwin County, Alabama","Private","Management of companies and enterprises","County, NAICS Sector -- by ownership sector","All establishment sizes",18,182,178,182,1860130,1476502,34074,792,"",0.83,0.27,0.26,0.26,0.19,0.28,0.42,0.72,"",7,63.6,100,122.0,92,107.0,89,95.7,867113,87.3,656887,80.1,16681,95.9,-86,-9.8
"01003","5","55","74","0","2004","2","","Baldwin County, Alabama","Private","Management of companies and enterprises","County, NAICS Sector -- by ownership sector","All establishment sizes",17,184,189,199,1798975,670357,16591,726,"",0.77,0.26,0.27,0.27,0.21,0.35,0.61,0.77,"",5,41.7,92,100.0,87,85.3,97,95.1,786019,77.6,146631,28.0,4114,33.0,-64,-8.1
