"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","3","31-33","54","0","2017","1","-","Alabama -- Statewide","Local Government","NAICS 31-33 Manufacturing","State, NAICS Sector -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","31-33","54","0","2017","2","N","Alabama -- Statewide","Local Government","NAICS 31-33 Manufacturing","State, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",2.00,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","31-33","54","0","2017","1","","Alabama -- Statewide","Private","NAICS 31-33 Manufacturing","State, NAICS Sector -- by ownership sector","All establishment sizes",5362,261642,262805,262793,3644059098,1923900413,29656958,1068,"",1.24,1.58,1.58,1.58,1.55,1.53,1.48,0.98,"",125,2.4,3142,1.2,3948,1.5,4072,1.6,237543352,7.0,57493485,3.1,-1622647,-5.2,55,5.4
"01000","5","31-33","54","0","2017","2","","Alabama -- Statewide","Private","NAICS 31-33 Manufacturing","State, NAICS Sector -- by ownership sector","All establishment sizes",5419,263083,262867,263822,3559523088,282153192,5031120,1040,"",1.24,1.58,1.58,1.58,1.58,1.10,1.37,1.00,"",155,2.9,3330,1.3,3087,1.2,2971,1.1,36573443,1.0,-19649325,-6.5,-893996,-15.1,-2,-0.2
"01001","5","31-33","74","0","2017","1","","Autauga County, Alabama","Private","NAICS 31-33 Manufacturing","County, NAICS Sector -- by ownership sector","All establishment sizes",32,1520,1558,1600,24902169,11465156,252010,1228,"",1.05,1.64,1.67,1.72,2.28,1.95,2.55,1.36,"",1,3.2,37,2.5,79,5.3,132,9.0,578688,2.4,338343,3.0,27741,12.4,-39,-3.1
"01001","5","31-33","74","0","2017","2","","Autauga County, Alabama","Private","NAICS 31-33 Manufacturing","County, NAICS Sector -- by ownership sector","All establishment sizes",32,1603,1586,1648,23000072,2046244,27369,1097,"",1.06,1.73,1.70,1.75,2.27,1.49,1.61,1.31,"",1,3.2,129,8.8,125,8.6,179,12.2,1157863,5.3,-422805,-17.1,2021,8.0,-48,-4.2
"01003","5","31-33","74","0","2017","1","","Baldwin County, Alabama","Private","NAICS 31-33 Manufacturing","County, NAICS Sector -- by ownership sector","All establishment sizes",191,4184,4122,4171,49259604,29046075,496929,911,"",0.91,0.71,0.69,0.68,0.78,0.66,0.82,1.12,"",8,4.4,107,2.6,58,1.4,94,2.3,5384123,12.3,1933619,7.1,14587,3.0,82,9.9
"01003","5","31-33","74","0","2017","2","","Baldwin County, Alabama","Private","NAICS 31-33 Manufacturing","County, NAICS Sector -- by ownership sector","All establishment sizes",191,4238,4200,4206,49878999,4398138,88032,910,"",0.90,0.68,0.67,0.65,0.75,0.35,0.54,1.12,"",10,5.5,175,4.3,209,5.2,146,3.6,5154297,11.5,-395748,-8.3,-37489,-29.9,58,6.8
"01005","5","31-33","74","0","2017","1","","Barbour County, Alabama","Private","NAICS 31-33 Manufacturing","County, NAICS Sector -- by ownership sector","All establishment sizes",29,2342,2354,2323,21878698,15970480,229562,719,"",1.48,3.38,3.39,3.37,2.91,3.09,3.08,0.86,"",0,0.0,143,6.5,149,6.8,120,5.4,1317796,6.4,768631,5.1,-37985,-14.2,1,0.1
"01005","5","31-33","74","0","2017","2","","Barbour County, Alabama","Private","NAICS 31-33 Manufacturing","County, NAICS Sector -- by ownership sector","All establishment sizes",30,2343,2330,2320,23136564,3496785,56609,764,"",1.54,3.41,3.40,3.36,3.12,3.19,3.60,0.92,"",1,3.4,180,8.3,167,7.7,128,5.8,2069705,9.8,397462,12.8,-5943,-9.5,18,2.4
"01007","5","31-33","74","0","2017","1","","Bibb County, Alabama","Private","NAICS 31-33 Manufacturing","County, NAICS Sector -- by ownership sector","All establishment sizes",21,350,350,361,3842748,2366058,19626,836,"",1.67,0.99,0.99,1.00,0.90,1.00,0.45,0.91,"",1,5.0,-6,-1.7,-4,-1.1,5,1.4,84820,2.3,-56130,-2.3,-4582,-18.9,22,2.7
"01007","5","31-33","74","0","2017","2","","Bibb County, Alabama","Private","NAICS 31-33 Manufacturing","County, NAICS Sector -- by ownership sector","All establishment sizes",22,359,365,374,4014111,509677,6092,844,"",1.75,1.01,1.03,1.05,0.94,1.05,0.79,0.92,"",2,10.0,2,0.6,5,1.4,13,3.6,-93451,-2.3,136071,36.4,1838,43.2,-35,-4.0
"01009","5","31-33","74","0","2017","1","","Blount County, Alabama","Private","NAICS 31-33 Manufacturing","County, NAICS Sector -- by ownership sector","All establishment sizes",50,1232,1229,1225,11330531,8456376,86655,709,"",1.86,1.74,1.73,1.72,1.55,1.80,1.50,0.89,"",1,2.0,30,2.5,12,1.0,-21,-1.7,708637,6.7,392993,4.9,-8115,-8.6,40,6.0
"01009","5","31-33","74","0","2017","2","","Blount County, Alabama","Private","NAICS 31-33 Manufacturing","County, NAICS Sector -- by ownership sector","All establishment sizes",51,1203,1199,1203,11608552,1582165,17547,743,"",1.88,1.71,1.68,1.67,1.59,1.36,1.31,0.94,"",1,2.0,-60,-4.8,-43,-3.5,-27,-2.2,142622,1.2,-271590,-14.7,-4841,-21.6,35,4.9
"01011","5","31-33","74","0","2017","1","","Bullock County, Alabama","Private","NAICS 31-33 Manufacturing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,811,781,786,5386914,4686414,89153,523,"",1.38,3.16,3.01,2.99,2.15,2.59,2.18,0.70,"N",1,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01011","5","31-33","74","0","2017","2","N","Bullock County, Alabama","Private","NAICS 31-33 Manufacturing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,0,0,0,0,0,0,0,"N",1.36,0,0,0,0,0,0,0,"N",1,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","31-33","74","0","2017","1","","Butler County, Alabama","Private","NAICS 31-33 Manufacturing","County, NAICS Sector -- by ownership sector","All establishment sizes",22,1453,1439,1430,14690986,10337375,216817,784,"",1.29,2.49,2.48,2.45,2.55,2.32,2.94,1.03,"",1,4.8,162,12.5,130,9.9,133,10.3,1630600,12.5,913503,9.7,1982,0.9,11,1.4
"01013","5","31-33","74","0","2017","2","","Butler County, Alabama","Private","NAICS 31-33 Manufacturing","County, NAICS Sector -- by ownership sector","All establishment sizes",22,1438,1426,1427,14927729,1745404,36767,803,"",1.28,2.46,2.45,2.44,2.55,1.62,2.42,1.04,"",1,4.8,120,9.1,111,8.4,94,7.1,583434,4.1,-25278,-1.4,-3453,-8.6,-32,-3.8
"01015","5","31-33","74","0","2017","1","","Calhoun County, Alabama","Private","NAICS 31-33 Manufacturing","County, NAICS Sector -- by ownership sector","All establishment sizes",132,6353,6391,6408,81546620,47737004,931576,983,"",1.50,1.67,1.68,1.67,1.80,1.94,2.24,1.08,"",-2,-1.5,421,7.1,460,7.8,464,7.8,12220070,17.6,4637327,10.8,223743,31.6,85,9.5
"01015","5","31-33","74","0","2017","2","","Calhoun County, Alabama","Private","NAICS 31-33 Manufacturing","County, NAICS Sector -- by ownership sector","All establishment sizes",132,6428,6452,6456,81642689,5758507,96362,974,"",1.50,1.69,1.71,1.70,1.86,1.02,1.24,1.09,"",-5,-3.6,452,7.6,461,7.7,467,7.8,7301886,9.8,-1618585,-21.9,-28442,-22.8,19,2.0
"01017","5","31-33","74","0","2017","1","","Chambers County, Alabama","Private","NAICS 31-33 Manufacturing","County, NAICS Sector -- by ownership sector","All establishment sizes",30,2149,2169,2140,24421230,15336716,151214,873,"",1.43,3.00,3.05,3.03,3.15,3.04,2.62,1.04,"",2,7.1,262,13.9,212,10.8,211,10.9,2942835,13.7,1278042,9.1,-32067,-17.5,14,1.6
