"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","3","53","54","0","2017","1","N","Alabama -- Statewide","Local Government","NAICS 53 Real estate and rental and leasing","State, NAICS Sector -- by ownership sector","All establishment sizes",134,0,0,0,0,0,0,0,"N",6.47,0,0,0,0,0,0,0,"N",-1,-0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","53","54","0","2017","2","N","Alabama -- Statewide","Local Government","NAICS 53 Real estate and rental and leasing","State, NAICS Sector -- by ownership sector","All establishment sizes",134,0,0,0,0,0,0,0,"N",6.50,0,0,0,0,0,0,0,"N",-1,-0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","53","54","0","2017","1","","Alabama -- Statewide","Private","NAICS 53 Real estate and rental and leasing","State, NAICS Sector -- by ownership sector","All establishment sizes",4774,22106,22264,22433,245067296,141730927,2150367,847,"",1.00,0.78,0.78,0.78,0.70,0.79,0.78,0.90,"",140,3.0,432,2.0,464,2.1,549,2.5,19526300,8.7,5434939,4.0,-113266,-5.0,51,6.4
"01000","5","53","54","0","2017","2","","Alabama -- Statewide","Private","NAICS 53 Real estate and rental and leasing","State, NAICS Sector -- by ownership sector","All establishment sizes",4830,22560,22825,23038,239299850,35326685,552007,807,"",1.00,0.78,0.78,0.78,0.73,0.79,0.84,0.94,"",166,3.6,167,0.7,292,1.3,238,1.0,13982132,6.2,-1061933,-2.9,-95332,-14.7,39,5.1
"01001","3","53","74","0","2017","1","N","Autauga County, Alabama","Local Government","NAICS 53 Real estate and rental and leasing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",6.89,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","3","53","74","0","2017","2","N","Autauga County, Alabama","Local Government","NAICS 53 Real estate and rental and leasing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",7.00,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","53","74","0","2017","1","","Autauga County, Alabama","Private","NAICS 53 Real estate and rental and leasing","County, NAICS Sector -- by ownership sector","All establishment sizes",44,117,121,119,1012852,720451,11903,655,"",1.31,0.73,0.76,0.74,0.62,0.85,0.87,0.84,"",2,4.8,2,1.7,6,5.2,2,1.7,116863,13.0,43056,6.4,1447,13.8,59,9.9
"01001","5","53","74","0","2017","2","","Autauga County, Alabama","Private","NAICS 53 Real estate and rental and leasing","County, NAICS Sector -- by ownership sector","All establishment sizes",45,120,122,125,1046509,196619,3446,658,"",1.35,0.74,0.75,0.75,0.72,0.82,1.13,0.96,"",3,7.1,0,0.0,8,7.0,12,10.6,126749,13.8,19328,10.9,652,23.3,46,7.5
"01003","3","53","74","0","2017","1","N","Baldwin County, Alabama","Local Government","NAICS 53 Real estate and rental and leasing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",2.00,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","3","53","74","0","2017","2","N","Baldwin County, Alabama","Local Government","NAICS 53 Real estate and rental and leasing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",2.00,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
