Year,Total Wages Collected,Yearly Total Emp
2004,5683295209.75,312287.5833333333
2005,6246241672.75,316557.4166666667
2006,6854963312.75,326282.5833333333
2007,7695328962.5,343627.4166666666
2008,7887029833.5,351077.6666666667
2009,7217196334.75,335275.0
2010,7455208801.0,331663.49999999994
2011,8185871885.25,341888.3333333334
2012,9036816912.5,365717.5833333334
2013,9772961468.5,386732.8333333333
2014,11235369554.0,409215.6666666666
2015,12582897370.25,432971.3333333334
2016,13870293369.75,457191.8333333333
2017,15056194583.5,461478.6666666667
