"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","1","52","54","0","2017","1","","Alabama -- Statewide","Federal Government","NAICS 52 Finance and insurance","State, NAICS Sector -- by ownership sector","All establishment sizes",18,146,147,150,3294304,0,0,1716,"",1.85,0.83,0.84,0.86,0.76,0.00,0.00,0.91,"",1,5.9,-7,-4.6,-2,-1.3,1,0.7,-70516,-2.1,0,0.0,0,0.0,-6,-0.3
"01000","1","52","54","0","2017","2","","Alabama -- Statewide","Federal Government","NAICS 52 Finance and insurance","State, NAICS Sector -- by ownership sector","All establishment sizes",17,152,151,149,2865921,0,0,1463,"",1.74,0.87,0.87,0.85,0.74,0.00,0.00,0.85,"",0,0.0,5,3.4,4,2.7,2,1.4,15067,0.5,0,0.0,0,0.0,-29,-1.9
"01000","2","52","54","0","2017","1","N","Alabama -- Statewide","State Government","NAICS 52 Finance and insurance","State, NAICS Sector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.84,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","2","52","54","0","2017","2","N","Alabama -- Statewide","State Government","NAICS 52 Finance and insurance","State, NAICS Sector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",1.84,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","52","54","0","2017","1","N","Alabama -- Statewide","Local Government","NAICS 52 Finance and insurance","State, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.48,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","52","54","0","2017","2","N","Alabama -- Statewide","Local Government","NAICS 52 Finance and insurance","State, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.47,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","52","54","0","2017","1","","Alabama -- Statewide","Private","NAICS 52 Finance and insurance","State, NAICS Sector -- by ownership sector","All establishment sizes",8119,71086,71170,71161,1476970762,531012198,7107423,1597,"",1.34,0.90,0.90,0.90,0.66,0.80,0.84,0.74,"",-9,-0.1,485,0.7,409,0.6,313,0.4,118107274,8.7,11073172,2.1,-24093,-0.3,119,8.1
"01000","5","52","54","0","2017","2","","Alabama -- Statewide","Private","NAICS 52 Finance and insurance","State, NAICS Sector -- by ownership sector","All establishment sizes",8215,71275,71523,71427,1230059600,63659198,1061749,1325,"",1.35,0.90,0.91,0.90,0.82,0.63,0.94,0.91,"",46,0.6,476,0.7,664,0.9,722,1.0,79852718,6.9,-5599567,-8.1,-282624,-21.0,75,6.0
"01001","5","52","74","0","2017","1","","Autauga County, Alabama","Private","NAICS 52 Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",71,274,281,276,3186808,1661915,17804,885,"",1.68,0.62,0.63,0.62,0.31,0.54,0.43,0.49,"",-1,-1.4,-4,-1.4,4,1.4,3,1.1,134373,4.4,39681,2.4,-5296,-22.9,34,4.0
"01001","5","52","74","0","2017","2","","Autauga County, Alabama","Private","NAICS 52 Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",71,279,275,277,3113740,313849,3817,865,"",1.69,0.63,0.62,0.62,0.46,0.58,0.73,0.74,"",1,1.4,13,4.9,8,3.0,10,3.7,-134092,-4.1,17627,6.0,-398,-9.4,-72,-7.7
"01003","1","52","74","0","2017","1","","Baldwin County, Alabama","Federal Government","NAICS 52 Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,8,8,8,148447,0,0,1427,"",2.12,1.27,1.27,1.24,1.27,0.00,0.00,1.01,"",0,0.0,0,0.0,0,0.0,0,0.0,7800,5.5,0,0.0,0,0.0,75,5.5
"01003","1","52","74","0","2017","2","","Baldwin County, Alabama","Federal Government","NAICS 52 Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,8,8,8,127757,0,0,1228,"",2.12,1.23,1.22,1.19,1.12,0.00,0.00,0.92,"",0,0.0,0,0.0,0,0.0,0,0.0,6360,5.2,0,0.0,0,0.0,61,5.2
"01003","3","52","74","0","2017","1","N","Baldwin County, Alabama","Local Government","NAICS 52 Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",9.83,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","3","52","74","0","2017","2","N","Baldwin County, Alabama","Local Government","NAICS 52 Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",9.76,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","52","74","0","2017","1","","Baldwin County, Alabama","Private","NAICS 52 Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",392,1865,1848,1870,27493445,12578945,172447,1136,"",1.34,0.66,0.65,0.64,0.46,0.54,0.67,0.71,"",12,3.2,35,1.9,-4,-0.2,2,0.1,2472616,9.9,120329,1.0,-10062,-5.5,96,9.2
"01003","5","52","74","0","2017","2","","Baldwin County, Alabama","Private","NAICS 52 Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",398,1876,1879,1878,26621580,2283007,31684,1091,"",1.35,0.63,0.63,0.61,0.60,0.46,0.64,0.97,"",16,4.2,24,1.3,16,0.9,40,2.2,2314825,9.5,110345,5.1,-1545,-4.6,81,8.0
"01005","5","52","74","0","2017","1","","Barbour County, Alabama","Private","NAICS 52 Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",44,183,185,185,1941978,1131261,12820,810,"",1.61,0.55,0.56,0.56,0.27,0.42,0.41,0.49,"",-1,-2.2,-14,-7.1,-11,-5.6,-11,-5.6,-190221,-8.9,-56063,-4.7,-3673,-22.3,-25,-3.0
"01005","5","52","74","0","2017","2","","Barbour County, Alabama","Private","NAICS 52 Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",44,182,183,182,1842326,187650,2470,777,"",1.62,0.56,0.56,0.56,0.37,0.43,0.51,0.67,"",-1,-2.2,-12,-6.2,-11,-5.7,-11,-5.7,-212983,-10.4,-14016,-7.0,-539,-17.9,-39,-4.8
