"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","1","44-45","54","0","2017","1","","Alabama -- Statewide","Federal Government","NAICS 44-45 Retail trade","State, NAICS Sector -- by ownership sector","All establishment sizes",12,830,832,823,12181317,0,0,1131,"",1.42,1.36,1.37,1.37,3.19,0.00,0.00,2.34,"",0,0.0,-28,-3.3,-14,-1.7,-16,-1.9,-1209824,-9.0,0,0.0,0,0.0,-84,-6.9
"01000","1","44-45","54","0","2017","2","","Alabama -- Statewide","Federal Government","NAICS 44-45 Retail trade","State, NAICS Sector -- by ownership sector","All establishment sizes",12,815,821,819,11869087,0,0,1116,"",1.43,1.37,1.39,1.38,2.78,0.00,0.00,2.02,"",0,0.0,-16,-1.9,-9,-1.1,-1,-0.1,-620740,-5.0,0,0.0,0,0.0,-46,-4.0
"01000","2","44-45","54","0","2017","1","N","Alabama -- Statewide","State Government","NAICS 44-45 Retail trade","State, NAICS Sector -- by ownership sector","All establishment sizes",174,0,0,0,0,0,0,0,"N",32.48,0,0,0,0,0,0,0,"N",2,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","2","44-45","54","0","2017","2","N","Alabama -- Statewide","State Government","NAICS 44-45 Retail trade","State, NAICS Sector -- by ownership sector","All establishment sizes",171,0,0,0,0,0,0,0,"N",32.07,0,0,0,0,0,0,0,"N",-3,-1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","44-45","54","0","2017","1","N","Alabama -- Statewide","Local Government","NAICS 44-45 Retail trade","State, NAICS Sector -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",0.49,0,0,0,0,0,0,0,"N",1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","44-45","54","0","2017","2","N","Alabama -- Statewide","Local Government","NAICS 44-45 Retail trade","State, NAICS Sector -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",0.49,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","44-45","54","0","2017","1","","Alabama -- Statewide","Private","NAICS 44-45 Retail trade","State, NAICS Sector -- by ownership sector","All establishment sizes",18355,230497,229114,229649,1585697697,1122082690,12031462,531,"",1.41,1.08,1.09,1.09,1.20,1.17,1.16,1.10,"",93,0.5,862,0.4,-190,-0.1,-1076,-0.5,107534145,7.3,46802979,4.4,-1017240,-7.8,36,7.3
"01000","5","44-45","54","0","2017","2","","Alabama -- Statewide","Private","NAICS 44-45 Retail trade","State, NAICS Sector -- by ownership sector","All establishment sizes",18468,230697,230883,231771,1577674641,439952074,4615522,525,"",1.41,1.09,1.09,1.09,1.15,1.33,1.30,1.05,"",173,0.9,-1572,-0.7,-1672,-0.7,-819,-0.4,4924717,0.3,-30407557,-6.5,-944648,-17.0,5,1.0
"01001","2","44-45","74","0","2017","1","N","Autauga County, Alabama","State Government","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",53.29,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","2","44-45","74","0","2017","2","N","Autauga County, Alabama","State Government","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",54.17,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
