Year,Total Wages Collected,Yearly Total Emp
2004,735790357.25,102781.0
2005,771136171.0,104057.33333333334
2006,805469435.25,106236.33333333334
2007,863560469.0,109609.08333333334
2008,898092454.0,111379.16666666666
2009,834770715.75,105213.25
2010,858820838.75,105006.16666666666
2011,918459196.0,108063.58333333334
2012,986978910.75,112754.08333333334
2013,1046960422.75,116815.91666666666
2014,1105778926.0,121506.08333333334
2015,1221536290.25,126795.66666666666
2016,1241677871.25,128089.91666666666
2017,1316019987.0,127281.83333333334
