Year,Total Wages Collected,Yearly Total Emp
2004,1533707309.75,268623.75
2005,1580587225.75,272649.4166666667
2006,1665869008.0,280002.9166666667
2007,1718520064.75,284448.0
2008,1693006964.75,279503.0
2009,1559235094.0,261323.75
2010,1576799185.5,260140.6666666667
2011,1617978923.25,263373.5
2012,1716081239.5,271849.0
2013,1779440845.25,281842.1666666666
2014,1888170257.0,292364.3333333333
2015,2033576680.75,300198.0833333334
2016,2122187112.75,307261.5833333334
2017,2212670546.5,309858.3333333333
