"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct","oty_month2_emplvl_chg","oty_month2_emplvl_pct","oty_month3_emplvl_chg","oty_month3_emplvl_pct","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct"
"01000","5","21","54","0","2010","1","","Alabama -- Statewide","Private","Mining, quarrying, and oil and gas extraction","State, NAICS Sector -- by ownership sector","All establishment sizes",317,7514,7539,7537,148182270,58433451,1925076,1514,"",0.78,0.87,0.87,0.85,0.84,0.76,0.87,0.97,"",5,1.6,-493,-6.2,-439,-5.5,-296,-3.8,6694748,4.7,-4963489,-7.8,910614,89.8,143,10.4
"01000","5","21","54","0","2010","2","","Alabama -- Statewide","Private","Mining, quarrying, and oil and gas extraction","State, NAICS Sector -- by ownership sector","All establishment sizes",314,7673,7771,7754,131802558,6338741,227790,1311,"",0.77,0.85,0.85,0.83,0.80,0.39,0.39,0.95,"",1,0.3,-170,-2.2,9,0.1,54,0.7,4848579,3.8,1091102,20.8,141136,162.9,54,4.3
"01000","5","21","54","0","2010","3","","Alabama -- Statewide","Private","Mining, quarrying, and oil and gas extraction","State, NAICS Sector -- by ownership sector","All establishment sizes",311,7806,7986,7782,140642685,5146716,174846,1377,"",0.76,0.82,0.84,0.82,0.80,0.56,0.50,0.97,"",-2,-0.6,156,2.0,481,6.4,189,2.5,18378612,15.0,2105249,69.2,128655,278.5,137,11.0
"01000","5","21","54","0","2010","4","","Alabama -- Statewide","Private","Mining, quarrying, and oil and gas extraction","State, NAICS Sector -- by ownership sector","All establishment sizes",321,7992,7987,7972,159414803,4185553,131071,1536,"",0.77,0.84,0.83,0.83,0.78,0.50,0.42,0.94,"",2,0.6,416,5.5,372,4.9,391,5.2,20689652,14.9,1788219,74.6,92567,240.4,130,9.2
"01001","5","21","74","0","2010","1","","Autauga County, Alabama","Private","Mining, quarrying, and oil and gas extraction","County, NAICS Sector -- by ownership sector","All establishment sizes",4,41,36,37,335630,276404,12382,679,"",1.31,0.80,0.69,0.70,0.40,0.73,1.21,0.54,"",0,0.0,0,0.0,-5,-12.2,3,8.8,40615,13.8,18039,7.0,9631,350.1,92,15.7
"01001","5","21","74","0","2010","2","","Autauga County, Alabama","Private","Mining, quarrying, and oil and gas extraction","County, NAICS Sector -- by ownership sector","All establishment sizes",4,40,40,36,386104,42718,1915,768,"",1.31,0.75,0.74,0.66,0.50,0.46,0.61,0.70,"",0,0.0,7,21.2,7,21.2,3,9.1,111145,40.4,330,0.8,1389,264.1,127,19.8
"01001","5","21","74","0","2010","3","","Autauga County, Alabama","Private","Mining, quarrying, and oil and gas extraction","County, NAICS Sector -- by ownership sector","All establishment sizes",4,39,40,36,394964,14033,662,793,"",1.31,0.70,0.71,0.64,0.48,0.29,0.41,0.70,"",0,0.0,5,14.7,6,17.6,2,5.9,112430,39.8,-4677,-25.0,350,112.2,154,24.1
"01001","5","21","74","0","2010","4","","Autauga County, Alabama","Private","Mining, quarrying, and oil and gas extraction","County, NAICS Sector -- by ownership sector","All establishment sizes",4,32,33,32,318718,3689,238,758,"",1.28,0.57,0.58,0.56,0.34,0.08,0.17,0.60,"",0,0.0,-2,-5.9,-8,-19.5,-10,-23.8,-34882,-9.9,-29746,-89.0,-146,-38.0,61,8.8
"01003","5","21","74","0","2010","1","","Baldwin County, Alabama","Private","Mining, quarrying, and oil and gas extraction","County, NAICS Sector -- by ownership sector","All establishment sizes",8,29,27,29,334886,213291,11905,909,"",0.45,0.11,0.10,0.10,0.08,0.09,0.20,0.75,"",1,14.3,6,26.1,3,12.5,8,38.1,138467,70.5,73652,52.7,6523,121.2,242,36.3
"01003","5","21","74","0","2010","2","","Baldwin County, Alabama","Private","Mining, quarrying, and oil and gas extraction","County, NAICS Sector -- by ownership sector","All establishment sizes",7,28,28,28,326503,40746,3161,897,"",0.39,0.10,0.09,0.09,0.08,0.06,0.14,0.83,"",0,0.0,7,33.3,7,33.3,6,27.3,150931,86.0,9095,28.7,1908,152.3,264,41.7
