"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct","oty_month2_emplvl_chg","oty_month2_emplvl_pct","oty_month3_emplvl_chg","oty_month3_emplvl_pct","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct"
"01000","5","55","54","0","2013","1","","Alabama -- Statewide","Private","Management of companies and enterprises","State, NAICS Sector -- by ownership sector","All establishment sizes",1188,16204,16446,16452,362456616,152464282,3984842,1703,"",1.62,0.57,0.57,0.57,0.47,0.54,0.52,0.83,"",-70,-5.6,-363,-2.2,-223,-1.3,-281,-1.7,8254012,2.3,-2373792,-1.5,-574074,-12.6,67,4.1
"01000","5","55","54","0","2013","2","","Alabama -- Statewide","Private","Management of companies and enterprises","State, NAICS Sector -- by ownership sector","All establishment sizes",1172,15724,15786,15860,301343195,39293738,983274,1468,"",1.60,0.55,0.55,0.55,0.49,0.73,0.71,0.89,"",-64,-5.2,-1116,-6.6,-1158,-6.8,-1243,-7.3,-12645366,-4.0,-1789471,-4.4,-122822,-11.1,44,3.1
"01000","5","55","54","0","2013","3","","Alabama -- Statewide","Private","Management of companies and enterprises","State, NAICS Sector -- by ownership sector","All establishment sizes",1159,15664,15663,15592,310968219,24942239,587683,1529,"",1.58,0.54,0.54,0.55,0.52,0.87,0.81,0.95,"",-70,-5.7,-1216,-7.2,-1281,-7.6,-1218,-7.2,-3616998,-1.1,-401322,-1.6,-51286,-8.0,95,6.6
"01000","5","55","54","0","2013","4","","Alabama -- Statewide","Private","Management of companies and enterprises","State, NAICS Sector -- by ownership sector","All establishment sizes",1172,15861,15836,15912,355114070,21302730,499326,1721,"",1.57,0.55,0.55,0.55,0.53,0.90,0.78,0.97,"",-85,-6.8,-1045,-6.2,-1117,-6.6,-1092,-6.4,-24241965,-6.4,-552630,-2.5,-42163,-7.8,0,0.0
"01001","5","55","74","0","2013","1","N","Autauga County, Alabama","Private","Management of companies and enterprises","County, NAICS Sector -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",0.56,0,0,0,0,0,0,0,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","55","74","0","2013","2","N","Autauga County, Alabama","Private","Management of companies and enterprises","County, NAICS Sector -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",0.57,0,0,0,0,0,0,0,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","55","74","0","2013","3","N","Autauga County, Alabama","Private","Management of companies and enterprises","County, NAICS Sector -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",0.57,0,0,0,0,0,0,0,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","55","74","0","2013","4","N","Autauga County, Alabama","Private","Management of companies and enterprises","County, NAICS Sector -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",0.57,0,0,0,0,0,0,0,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","55","74","0","2013","1","","Baldwin County, Alabama","Private","Management of companies and enterprises","County, NAICS Sector -- by ownership sector","All establishment sizes",45,307,306,309,4101662,2457295,58543,1027,"",1.37,0.33,0.33,0.32,0.22,0.28,0.27,0.66,"",-6,-11.8,-18,-5.5,-16,-5.0,1,0.3,-93251,-2.2,-177676,-6.7,-23070,-28.3,13,1.3
"01003","5","55","74","0","2013","2","","Baldwin County, Alabama","Private","Management of companies and enterprises","County, NAICS Sector -- by ownership sector","All establishment sizes",45,313,316,312,3848875,1024661,24399,944,"",1.36,0.32,0.32,0.31,0.24,0.43,0.42,0.75,"",-5,-10.0,-9,-2.8,-16,-4.8,-17,-5.2,-116917,-2.9,84568,9.0,1061,4.5,13,1.4
