"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","21","54","0","2016","1","","Alabama -- Statewide","Private","NAICS 21 Mining, quarrying, and oil and gas extraction","State, NAICS Sector -- by ownership sector","All establishment sizes",336,5757,5406,5338,104085365,40452576,714622,1456,"",0.77,0.65,0.62,0.63,0.51,0.50,0.54,0.81,"",-9,-2.6,-1505,-20.7,-1754,-24.5,-1840,-25.6,-42637909,-29.1,-15545287,-27.8,-338393,-32.1,-112,-7.1
"01000","5","21","54","0","2016","2","","Alabama -- Statewide","Private","NAICS 21 Mining, quarrying, and oil and gas extraction","State, NAICS Sector -- by ownership sector","All establishment sizes",338,5181,5059,5068,87882196,7674075,192010,1325,"",0.78,0.62,0.62,0.62,0.52,0.61,0.79,0.84,"",-10,-2.9,-1934,-27.2,-1956,-27.9,-1896,-27.2,-50913245,-36.7,3088374,67.3,65238,51.5,-193,-12.7
"01000","5","21","54","0","2016","3","","Alabama -- Statewide","Private","NAICS 21 Mining, quarrying, and oil and gas extraction","State, NAICS Sector -- by ownership sector","All establishment sizes",338,5218,5196,5354,89677748,5544539,87621,1312,"",0.79,0.64,0.64,0.67,0.54,0.83,0.58,0.83,"",-7,-2.0,-1790,-25.5,-1690,-24.5,-1363,-20.3,-45401727,-33.6,2446403,79.0,4178,5.0,-200,-13.2
"01000","5","21","54","0","2016","4","","Alabama -- Statewide","Private","NAICS 21 Mining, quarrying, and oil and gas extraction","State, NAICS Sector -- by ownership sector","All establishment sizes",343,5482,5615,5662,96837901,5490719,127444,1333,"",0.80,0.68,0.70,0.70,0.56,0.91,0.90,0.80,"",-12,-3.4,-1166,-17.5,-547,-8.9,-334,-5.6,-33365661,-25.6,2894859,111.5,56857,80.5,-265,-16.6
"01001","5","21","74","0","2016","1","","Autauga County, Alabama","Private","NAICS 21 Mining, quarrying, and oil and gas extraction","County, NAICS Sector -- by ownership sector","All establishment sizes",3,77,75,75,796769,588433,7734,810,"",0.97,1.53,1.52,1.56,0.85,1.55,1.22,0.56,"",0,0.0,10,14.9,10,15.4,8,11.9,97961,14.0,72575,14.1,-2404,-23.7,0,0.0
"01001","5","21","74","0","2016","2","","Autauga County, Alabama","Private","NAICS 21 Mining, quarrying, and oil and gas extraction","County, NAICS Sector -- by ownership sector","All establishment sizes",3,80,80,78,879845,98614,1283,853,"",0.98,1.72,1.74,1.71,1.15,1.39,1.14,0.67,"",0,0.0,15,23.1,13,19.4,7,9.9,72888,9.0,55728,129.9,513,66.6,-64,-7.0
"01001","5","21","74","0","2016","3","","Autauga County, Alabama","Private","NAICS 21 Mining, quarrying, and oil and gas extraction","County, NAICS Sector -- by ownership sector","All establishment sizes",4,85,92,79,959950,138778,3603,865,"",1.35,1.88,2.04,1.76,1.24,3.58,5.05,0.66,"",1,33.3,12,16.4,17,22.7,4,5.3,30689,3.3,44028,46.5,1211,50.6,-97,-10.1
"01001","5","21","74","0","2016","4","","Autauga County, Alabama","Private","NAICS 21 Mining, quarrying, and oil and gas extraction","County, NAICS Sector -- by ownership sector","All establishment sizes",4,72,71,72,832758,75478,1920,894,"",1.34,1.60,1.57,1.57,1.08,2.45,3.26,0.69,"",1,33.3,-6,-7.7,-5,-6.6,-4,-5.3,-116125,-12.2,19574,35.0,474,32.8,-58,-6.1
"01003","5","21","74","0","2016","1","","Baldwin County, Alabama","Private","NAICS 21 Mining, quarrying, and oil and gas extraction","County, NAICS Sector -- by ownership sector","All establishment sizes",16,86,87,88,1178545,652286,10829,1042,"",0.78,0.28,0.28,0.28,0.22,0.24,0.27,0.79,"",2,14.3,28,48.3,30,52.6,30,51.7,401125,51.6,253811,63.7,4107,61.1,5,0.5
"01003","5","21","74","0","2016","2","","Baldwin County, Alabama","Private","NAICS 21 Mining, quarrying, and oil and gas extraction","County, NAICS Sector -- by ownership sector","All establishment sizes",16,90,87,87,1294867,129291,2543,1132,"",0.78,0.29,0.28,0.28,0.27,0.21,0.24,0.94,"",1,6.7,31,52.5,29,50.0,28,47.5,408327,46.1,48501,60.0,839,49.2,-30,-2.6
"01003","5","21","74","0","2016","3","","Baldwin County, Alabama","Private","NAICS 21 Mining, quarrying, and oil and gas extraction","County, NAICS Sector -- by ownership sector","All establishment sizes",17,90,86,83,1310855,68271,842,1168,"",0.84,0.29,0.28,0.28,0.27,0.20,0.12,0.95,"",1,6.2,34,60.7,27,45.8,24,40.7,474058,56.7,-30249,-30.7,-1332,-61.3,58,5.2
"01003","5","21","74","0","2016","4","","Baldwin County, Alabama","Private","NAICS 21 Mining, quarrying, and oil and gas extraction","County, NAICS Sector -- by ownership sector","All establishment sizes",19,85,88,90,1398066,74614,1460,1227,"",0.93,0.29,0.30,0.31,0.29,0.31,0.30,0.95,"",1,5.6,25,41.7,28,46.7,24,36.4,420532,43.0,8950,13.6,-82,-5.3,14,1.2
"01005","5","21","74","0","2016","1","","Barbour County, Alabama","Private","NAICS 21 Mining, quarrying, and oil and gas extraction","County, NAICS Sector -- by ownership sector","All establishment sizes",6,176,175,177,2620847,1346421,21560,1145,"",3.02,4.67,4.77,4.97,3.92,3.97,4.06,0.82,"",-1,-14.3,-12,-6.4,-10,-5.4,-3,-1.7,-48092,-1.8,-13726,-1.0,-2800,-11.5,31,2.8
"01005","5","21","74","0","2016","2","","Barbour County, Alabama","Private","NAICS 21 Mining, quarrying, and oil and gas extraction","County, NAICS Sector -- by ownership sector","All establishment sizes",6,169,160,154,2460954,97474,2880,1176,"",3.10,4.89,4.75,4.58,4.48,1.90,2.77,0.94,"",-1,-14.3,-12,-6.6,-6,-3.6,-25,-14.0,144505,6.2,-31992,-24.7,-529,-15.5,160,15.7
"01005","5","21","74","0","2016","3","","Barbour County, Alabama","Private","NAICS 21 Mining, quarrying, and oil and gas extraction","County, NAICS Sector -- by ownership sector","All establishment sizes",6,152,151,152,2446204,28874,696,1241,"",3.14,4.54,4.53,4.64,4.42,1.20,1.25,0.97,"",-1,-14.3,-29,-16.0,-37,-19.7,-33,-17.8,-342194,-12.3,-109028,-79.1,-2106,-75.2,79,6.8
