"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","3","23","54","0","2017","1","N","Alabama -- Statewide","Local Government","NAICS 23 Construction","State, NAICS Sector -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",0.05,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","23","54","0","2017","2","N","Alabama -- Statewide","Local Government","NAICS 23 Construction","State, NAICS Sector -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",0.05,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","23","54","0","2017","1","","Alabama -- Statewide","Private","NAICS 23 Construction","State, NAICS Sector -- by ownership sector","All establishment sizes",9418,83172,83992,85450,1090022541,623745976,15390351,996,"",0.96,0.96,0.96,0.96,1.05,0.96,1.01,1.10,"",210,2.3,353,0.4,1208,1.5,869,1.0,87644260,8.7,22362749,3.7,-2418247,-13.6,71,7.7
"01000","5","23","54","0","2017","2","","Alabama -- Statewide","Private","NAICS 23 Construction","State, NAICS Sector -- by ownership sector","All establishment sizes",9565,84288,85128,84857,1060812506,139065727,3633310,963,"",0.97,0.92,0.91,0.89,0.93,0.72,0.70,1.02,"",268,2.9,-1228,-1.4,642,0.8,613,0.7,29326002,2.8,-11766927,-7.8,-962714,-20.9,27,2.9
"01001","5","23","74","0","2017","1","","Autauga County, Alabama","Private","NAICS 23 Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",79,443,434,424,4508287,2900721,51398,800,"",1.15,0.91,0.89,0.85,0.93,0.96,0.68,1.06,"",-2,-2.5,7,1.6,-6,-1.4,-15,-3.4,121174,2.8,15737,0.5,-14955,-22.5,30,3.9
"01001","5","23","74","0","2017","2","","Autauga County, Alabama","Private","NAICS 23 Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",81,409,440,440,4459529,750606,16123,798,"",1.18,0.80,0.84,0.82,0.87,0.72,0.67,1.06,"",-1,-1.2,-45,-9.9,-26,-5.6,-44,-9.1,-58168,-1.3,-209969,-21.9,-8360,-34.1,55,7.4
"01003","5","23","74","0","2017","1","","Baldwin County, Alabama","Private","NAICS 23 Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",572,3621,3623,3645,41852796,26384742,386967,887,"",1.21,1.17,1.15,1.10,1.49,1.16,0.83,1.31,"",30,5.5,217,6.4,206,6.0,60,1.7,6352836,17.9,2666038,11.2,-38263,-9.0,100,12.7
"01003","5","23","74","0","2017","2","","Baldwin County, Alabama","Private","NAICS 23 Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",579,3673,3679,3764,42828403,6483645,96395,889,"",1.21,1.07,1.04,1.03,1.27,0.68,0.42,1.22,"",23,4.1,-2,-0.1,-15,-0.4,138,3.8,2034489,5.0,-599657,-8.5,-42905,-30.8,33,3.9
"01005","5","23","74","0","2017","1","","Barbour County, Alabama","Private","NAICS 23 Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",30,144,151,152,2248580,963074,11157,1161,"",0.68,0.40,0.41,0.41,0.68,0.36,0.20,1.66,"",-2,-6.2,-9,-5.9,4,2.7,2,1.3,386568,20.8,20912,2.2,-5875,-34.5,206,21.6
"01005","5","23","74","0","2017","2","","Barbour County, Alabama","Private","NAICS 23 Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",30,156,155,160,1675153,271847,3305,821,"",0.68,0.41,0.40,0.41,0.45,0.33,0.15,1.10,"",0,0.0,7,4.7,0,0.0,11,7.4,24259,1.5,-18187,-6.3,-2227,-40.3,-20,-2.4
"01007","5","23","74","0","2017","1","","Bibb County, Alabama","Private","NAICS 23 Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",31,628,615,706,10215205,5174429,139467,1210,"",1.09,3.40,3.29,3.66,5.42,4.26,4.22,1.57,"",2,6.9,-126,-16.7,-123,-16.7,-104,-12.8,-1001795,-8.9,-952161,-15.5,-28136,-16.8,86,7.7
"01007","5","23","74","0","2017","2","","Bibb County, Alabama","Private","NAICS 23 Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",31,678,658,631,10136564,947862,26479,1189,"",1.09,3.45,3.31,3.10,4.70,2.58,2.42,1.43,"",1,3.3,-149,-18.0,-76,-10.4,-150,-19.2,-1605644,-13.7,-191418,-16.8,-3869,-12.7,32,2.8
"01009","5","23","74","0","2017","1","","Blount County, Alabama","Private","NAICS 23 Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",89,483,496,491,4524333,3173331,56491,710,"",1.47,1.31,1.33,1.29,1.40,1.31,1.28,1.07,"",10,12.7,62,14.7,64,14.8,55,12.6,773109,20.6,500248,18.7,10787,23.6,38,5.7
"01009","5","23","74","0","2017","2","","Blount County, Alabama","Private","NAICS 23 Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",90,518,520,528,4937671,979575,21779,728,"",1.46,1.34,1.30,1.29,1.33,1.12,1.14,1.02,"",9,11.1,88,20.5,80,18.2,76,16.8,892829,22.1,124140,14.5,4613,26.9,22,3.1
"01011","5","23","74","0","2017","1","N","Bullock County, Alabama","Private","NAICS 23 Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",0.35,0,0,0,0,0,0,0,"N",-1,-20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01011","5","23","74","0","2017","2","N","Bullock County, Alabama","Private","NAICS 23 Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",0.34,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","23","74","0","2017","1","","Butler County, Alabama","Private","NAICS 23 Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",26,198,197,191,2275535,1408889,30673,896,"",0.68,0.65,0.65,0.61,0.89,0.61,0.54,1.41,"",-1,-3.7,-40,-16.8,-40,-16.9,-37,-16.2,-271954,-10.7,-181999,-11.4,-13977,-31.3,60,7.2
"01013","5","23","74","0","2017","2","","Butler County, Alabama","Private","NAICS 23 Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",27,224,211,205,2285617,418642,9553,824,"",0.69,0.70,0.64,0.61,0.77,0.51,0.44,1.18,"",1,3.8,10,4.7,-10,-4.5,-11,-5.1,-56199,-2.4,70356,20.2,-678,-6.6,-6,-0.7
"01015","5","23","74","0","2017","1","","Calhoun County, Alabama","Private","NAICS 23 Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",157,853,857,851,9055626,5689071,133766,816,"",0.79,0.43,0.43,0.41,0.45,0.45,0.42,1.07,"",6,4.0,67,8.5,58,7.3,44,5.5,983511,12.2,406766,7.7,-14851,-10.0,37,4.7
"01015","5","23","74","0","2017","2","","Calhoun County, Alabama","Private","NAICS 23 Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",161,843,862,875,8858147,1425015,30500,792,"",0.81,0.40,0.41,0.40,0.40,0.33,0.28,0.98,"",9,5.9,30,3.7,36,4.4,20,2.3,457419,5.4,123138,9.5,-4845,-13.7,15,1.9
"01017","5","23","74","0","2017","1","","Chambers County, Alabama","Private","NAICS 23 Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",49,231,233,241,2344271,1342415,16322,767,"",1.04,0.62,0.62,0.64,0.68,0.52,0.37,1.09,"",-5,-9.3,36,18.5,33,16.5,40,19.9,653808,38.7,110322,9.0,931,6.0,112,17.1
"01017","5","23","74","0","2017","2","","Chambers County, Alabama","Private","NAICS 23 Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",48,234,237,237,2528354,365640,5500,824,"",1.01,0.60,0.59,0.58,0.64,0.48,0.33,1.08,"",-7,-12.7,34,17.0,37,18.5,32,15.6,797290,46.1,40314,12.4,1152,26.5,164,24.8
"01019","5","23","74","0","2017","1","","Cherokee County, Alabama","Private","NAICS 23 Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",29,66,60,70,586494,374051,5286,691,"",0.91,0.29,0.26,0.30,0.30,0.25,0.15,1.07,"",-4,-12.1,-21,-24.1,-32,-34.8,-27,-27.8,-130233,-18.2,-110472,-22.8,-10178,-65.8,92,15.4
"01019","5","23","74","0","2017","2","","Cherokee County, Alabama","Private","NAICS 23 Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",28,69,70,72,636881,171698,5821,697,"",0.88,0.29,0.28,0.29,0.28,0.32,0.42,0.99,"",-5,-15.2,-13,-15.9,-15,-17.6,-4,-5.3,-159289,-20.0,-15107,-8.1,-1661,-22.2,-59,-7.8
"01021","5","23","74","0","2017","1","","Chilton County, Alabama","Private","NAICS 23 Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",91,589,604,618,5426379,3747010,53874,691,"",1.51,1.40,1.42,1.43,1.40,1.23,0.86,0.99,"",1,1.1,2,0.3,11,1.9,-8,-1.3,117239,2.2,-15535,-0.4,-7611,-12.4,13,1.9
"01021","5","23","74","0","2017","2","","Chilton County, Alabama","Private","NAICS 23 Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",92,602,604,606,5717893,886003,13755,728,"",1.52,1.37,1.34,1.32,1.30,0.66,0.44,0.97,"",0,0.0,-6,-1.0,-22,-3.5,-30,-4.7,255609,4.7,-34293,-3.7,-2963,-17.7,54,8.0
"01023","5","23","74","0","2017","1","N","Choctaw County, Alabama","Private","NAICS 23 Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",15,0,0,0,0,0,0,0,"N",0.67,0,0,0,0,0,0,0,"N",1,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01023","5","23","74","0","2017","2","N","Choctaw County, Alabama","Private","NAICS 23 Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",14,0,0,0,0,0,0,0,"N",0.61,0,0,0,0,0,0,0,"N",1,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01025","5","23","74","0","2017","1","","Clarke County, Alabama","Private","NAICS 23 Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",29,168,169,180,1843246,1093530,27393,823,"",0.56,0.46,0.46,0.48,0.51,0.42,0.55,1.09,"",2,7.4,-8,-4.5,-5,-2.9,5,2.9,95554,5.5,21057,2.0,-4022,-12.8,55,7.2
"01025","5","23","74","0","2017","2","","Clarke County, Alabama","Private","NAICS 23 Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",30,165,166,186,1705312,305301,9679,761,"",0.57,0.43,0.43,0.47,0.43,0.38,0.45,0.96,"",3,11.1,-13,-7.3,-2,-1.2,8,4.5,-18532,-1.1,60832,24.9,3103,47.2,2,0.3
"01027","5","23","74","0","2017","1","","Clay County, Alabama","Private","NAICS 23 Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",11,34,34,37,247805,182008,6085,545,"",0.66,0.19,0.18,0.20,0.16,0.14,0.29,0.83,"",0,0.0,-4,-10.5,-3,-8.1,0,0.0,-29091,-10.5,-32554,-15.2,-3382,-35.7,-26,-4.6
"01027","5","23","74","0","2017","2","","Clay County, Alabama","Private","NAICS 23 Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",11,35,39,40,300607,102189,3813,609,"",0.66,0.18,0.20,0.20,0.17,0.24,0.44,0.88,"",0,0.0,0,0.0,-4,-9.3,-5,-11.1,-82051,-21.4,10870,11.9,-870,-18.6,-109,-15.2
