"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","55","54","0","2017","1","","Alabama -- Statewide","Private","NAICS 55 Management of companies and enterprises","State, NAICS Sector -- by ownership sector","All establishment sizes",1035,16114,16083,16105,457177402,161927373,2195933,2184,"",1.28,0.53,0.52,0.52,0.50,0.53,0.53,0.96,"",-39,-3.6,-101,-0.6,-203,-1.2,-43,-0.3,19677217,4.5,2617661,1.6,-200475,-8.4,109,5.3
"01000","5","55","54","0","2017","2","","Alabama -- Statewide","Private","NAICS 55 Management of companies and enterprises","State, NAICS Sector -- by ownership sector","All establishment sizes",1029,16020,16120,16157,425365852,38536223,505823,2032,"",1.26,0.52,0.53,0.53,0.61,0.71,0.75,1.15,"",-42,-3.9,-266,-1.6,-308,-1.9,-397,-2.4,91683864,27.5,-1145967,-2.9,-31744,-5.9,469,30.0
"01001","5","55","74","0","2017","1","N","Autauga County, Alabama","Private","NAICS 55 Management of companies and enterprises","County, NAICS Sector -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",0.53,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","55","74","0","2017","2","N","Autauga County, Alabama","Private","NAICS 55 Management of companies and enterprises","County, NAICS Sector -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",0.53,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","55","74","0","2017","1","","Baldwin County, Alabama","Private","NAICS 55 Management of companies and enterprises","County, NAICS Sector -- by ownership sector","All establishment sizes",36,278,274,281,3873349,2496043,23216,1073,"",0.92,0.25,0.25,0.25,0.16,0.23,0.18,0.63,"",-1,-2.7,-10,-3.5,-17,-5.8,10,3.7,500483,14.8,225380,9.9,-1756,-7.0,157,17.1
"01003","5","55","74","0","2017","2","","Baldwin County, Alabama","Private","NAICS 55 Management of companies and enterprises","County, NAICS Sector -- by ownership sector","All establishment sizes",37,294,302,305,3838821,945030,8666,983,"",0.94,0.26,0.26,0.26,0.19,0.35,0.29,0.72,"",-1,-2.6,-27,-8.4,-23,-7.1,-17,-5.3,-326003,-7.8,-141798,-13.0,-3211,-27.0,-10,-1.0
"01005","5","55","74","0","2017","1","N","Barbour County, Alabama","Private","NAICS 55 Management of companies and enterprises","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.27,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","55","74","0","2017","2","N","Barbour County, Alabama","Private","NAICS 55 Management of companies and enterprises","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.27,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","55","74","0","2017","1","N","Bibb County, Alabama","Private","NAICS 55 Management of companies and enterprises","County, NAICS Sector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.85,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","55","74","0","2017","2","N","Bibb County, Alabama","Private","NAICS 55 Management of companies and enterprises","County, NAICS Sector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.85,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
