"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","1","71","54","0","2017","1","","Alabama -- Statewide","Federal Government","NAICS 71 Arts, entertainment, and recreation","State, NAICS Sector -- by ownership sector","All establishment sizes",17,351,354,347,2033667,0,0,446,"",1.17,0.71,0.71,0.69,0.36,0.00,0.00,0.52,"",1,6.2,-4,-1.1,-8,-2.2,-29,-7.7,-645,0.0,0,0.0,0,0.0,16,3.7
"01000","1","71","54","0","2017","2","","Alabama -- Statewide","Federal Government","NAICS 71 Arts, entertainment, and recreation","State, NAICS Sector -- by ownership sector","All establishment sizes",17,352,371,406,2111676,0,0,432,"",1.18,0.71,0.69,0.70,0.38,0.00,0.00,0.54,"",1,6.2,-23,-6.1,-31,-7.7,-26,-6.0,-64205,-3.0,0,0.0,0,0.0,17,4.1
"01000","2","71","54","0","2017","1","N","Alabama -- Statewide","State Government","NAICS 71 Arts, entertainment, and recreation","State, NAICS Sector -- by ownership sector","All establishment sizes",13,0,0,0,0,0,0,0,"N",1.13,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","2","71","54","0","2017","2","N","Alabama -- Statewide","State Government","NAICS 71 Arts, entertainment, and recreation","State, NAICS Sector -- by ownership sector","All establishment sizes",13,0,0,0,0,0,0,0,"N",1.13,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","71","54","0","2017","1","","Alabama -- Statewide","Local Government","NAICS 71 Arts, entertainment, and recreation","State, NAICS Sector -- by ownership sector","All establishment sizes",35,3854,3902,3889,32361931,18185617,166798,641,"",0.70,0.98,0.98,0.97,1.32,2.96,2.06,1.35,"",-1,-2.8,93,2.5,56,1.5,6,0.2,512668,1.6,-139155,-0.8,-74,0.0,1,0.2
"01000","3","71","54","0","2017","2","","Alabama -- Statewide","Local Government","NAICS 71 Arts, entertainment, and recreation","State, NAICS Sector -- by ownership sector","All establishment sizes",35,3950,3968,4050,31151807,4135886,36600,601,"",0.70,0.97,0.92,0.80,1.15,1.78,1.56,1.29,"",-1,-2.8,-61,-1.5,-94,-2.3,-162,-3.8,107709,0.3,-164028,-3.8,-2902,-7.3,18,3.1
"01000","5","71","54","0","2017","1","","Alabama -- Statewide","Private","NAICS 71 Arts, entertainment, and recreation","State, NAICS Sector -- by ownership sector","All establishment sizes",1227,16753,17271,17982,77630010,53283481,688321,344,"",0.70,0.62,0.62,0.63,0.39,0.53,0.44,0.63,"",43,3.6,814,5.1,942,5.8,993,5.8,4191196,5.7,3481623,7.0,-30983,-4.3,0,0.0
"01000","5","71","54","0","2017","2","","Alabama -- Statewide","Private","NAICS 71 Arts, entertainment, and recreation","State, NAICS Sector -- by ownership sector","All establishment sizes",1242,19167,20468,22292,93925782,32281248,399626,350,"",0.70,0.63,0.64,0.64,0.42,0.79,0.53,0.65,"",45,3.8,685,3.7,513,2.6,663,3.1,5917062,6.7,1620619,5.3,-15190,-3.7,12,3.6
"01001","2","71","74","0","2017","1","N","Autauga County, Alabama","State Government","NAICS 71 Arts, entertainment, and recreation","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",12.44,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","2","71","74","0","2017","2","N","Autauga County, Alabama","State Government","NAICS 71 Arts, entertainment, and recreation","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",12.55,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","71","74","0","2017","1","","Autauga County, Alabama","Private","NAICS 71 Arts, entertainment, and recreation","County, NAICS Sector -- by ownership sector","All establishment sizes",9,241,240,243,745896,194337,1727,238,"",0.73,1.58,1.55,1.52,0.81,0.41,0.22,0.52,"",0,0.0,-13,-5.1,-8,-3.2,-18,-6.9,83334,12.6,-6809,-3.4,-420,-19.6,38,19.0
"01001","5","71","74","0","2017","2","","Autauga County, Alabama","Private","NAICS 71 Arts, entertainment, and recreation","County, NAICS Sector -- by ownership sector","All establishment sizes",9,245,312,339,820349,109712,894,211,"",0.73,1.45,1.75,1.74,0.81,0.50,0.26,0.49,"",-1,-10.0,-23,-8.6,-5,-1.6,0,0.0,91521,12.6,2116,2.0,-205,-18.7,29,15.9
"01003","2","71","74","0","2017","1","N","Baldwin County, Alabama","State Government","NAICS 71 Arts, entertainment, and recreation","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.80,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","2","71","74","0","2017","2","N","Baldwin County, Alabama","State Government","NAICS 71 Arts, entertainment, and recreation","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.79,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","71","74","0","2017","1","","Baldwin County, Alabama","Private","NAICS 71 Arts, entertainment, and recreation","County, NAICS Sector -- by ownership sector","All establishment sizes",95,1054,1069,1220,5410303,4015541,48928,373,"",1.12,1.08,1.07,1.15,1.01,1.13,1.03,0.91,"",4,4.4,33,3.2,13,1.2,62,5.4,576682,11.9,289171,7.8,3449,7.6,28,8.1
"01003","5","71","74","0","2017","2","","Baldwin County, Alabama","Private","NAICS 71 Arts, entertainment, and recreation","County, NAICS Sector -- by ownership sector","All establishment sizes",99,1331,1418,1678,7299629,3274677,44057,381,"",1.15,1.18,1.18,1.26,1.10,1.61,1.32,0.91,"",7,7.6,78,6.2,66,4.9,174,11.6,908342,14.2,438716,15.5,8865,25.2,22,6.1
