"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","1","81","54","0","2017","1","","Alabama -- Statewide","Federal Government","NAICS 81 Other services, except public administration","State, NAICS Sector -- by ownership sector","All establishment sizes",3,427,422,416,10314686,0,0,1882,"",1.40,6.78,6.74,6.70,16.45,0.00,0.00,2.44,"",0,0.0,-8,-1.8,-12,-2.8,-18,-4.1,595943,6.1,0,0.0,0,0.0,161,9.4
"01000","1","81","54","0","2017","2","","Alabama -- Statewide","Federal Government","NAICS 81 Other services, except public administration","State, NAICS Sector -- by ownership sector","All establishment sizes",3,415,412,409,12126968,0,0,2264,"",1.41,6.75,6.71,6.67,16.94,0.00,0.00,2.52,"",0,0.0,-14,-3.3,-19,-4.4,-23,-5.3,-60076,-0.5,0,0.0,0,0.0,87,4.0
"01000","2","81","54","0","2017","1","N","Alabama -- Statewide","State Government","NAICS 81 Other services, except public administration","State, NAICS Sector -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",1.85,0,0,0,0,0,0,0,"N",1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","2","81","54","0","2017","2","N","Alabama -- Statewide","State Government","NAICS 81 Other services, except public administration","State, NAICS Sector -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",1.84,0,0,0,0,0,0,0,"N",1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","81","54","0","2017","1","N","Alabama -- Statewide","Local Government","NAICS 81 Other services, except public administration","State, NAICS Sector -- by ownership sector","All establishment sizes",30,0,0,0,0,0,0,0,"N",1.11,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","81","54","0","2017","2","","Alabama -- Statewide","Local Government","NAICS 81 Other services, except public administration","State, NAICS Sector -- by ownership sector","All establishment sizes",30,395,387,412,4281823,15735,220,828,"",1.12,0.91,0.88,0.94,1.09,0.10,0.13,1.20,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","81","54","0","2017","1","","Alabama -- Statewide","Private","NAICS 81 Other services, except public administration","State, NAICS Sector -- by ownership sector","All establishment sizes",9309,44108,44440,44925,403523235,253493833,3695970,698,"",0.89,0.76,0.75,0.76,0.92,0.92,1.04,1.22,"",273,3.0,756,1.7,777,1.8,573,1.3,24724850,6.5,9893743,4.1,-88056,-2.3,33,5.0
"01000","5","81","54","0","2017","2","","Alabama -- Statewide","Private","NAICS 81 Other services, except public administration","State, NAICS Sector -- by ownership sector","All establishment sizes",9496,45117,45404,45644,412488795,75329024,1117900,699,"",0.90,0.76,0.76,0.75,0.90,0.88,1.02,1.19,"",393,4.3,18,0.0,717,1.6,406,0.9,20495097,5.2,-4118349,-5.2,-127077,-10.2,29,4.3
"01001","5","81","74","0","2017","1","","Autauga County, Alabama","Private","NAICS 81 Other services, except public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",69,229,219,214,1387082,1086602,14676,484,"",0.94,0.70,0.66,0.65,0.68,0.85,0.84,1.02,"",-2,-2.8,0,0.0,-4,-1.8,-26,-10.8,-48893,-3.4,-44420,-3.9,-2459,-14.4,5,1.0
"01001","5","81","74","0","2017","2","","Autauga County, Alabama","Private","NAICS 81 Other services, except public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",69,239,234,233,1583472,626056,9399,518,"",0.94,0.72,0.70,0.68,0.77,1.36,1.85,1.10,"",-1,-1.4,18,8.1,16,7.3,19,8.9,197522,14.3,159481,34.2,3250,52.9,28,5.7
