"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","1","54","54","0","2017","1","","Alabama -- Statewide","Federal Government","NAICS 54 Professional and technical services","State, NAICS Sector -- by ownership sector","All establishment sizes",40,1784,1777,1763,43752716,0,0,1896,"",2.43,2.11,2.10,2.08,2.75,0.00,0.00,1.31,"",2,5.3,83,4.9,80,4.7,62,3.6,3579380,8.9,0,0.0,0,0.0,78,4.3
"01000","1","54","54","0","2017","2","","Alabama -- Statewide","Federal Government","NAICS 54 Professional and technical services","State, NAICS Sector -- by ownership sector","All establishment sizes",39,1760,1763,1795,36634391,0,0,1590,"",2.39,2.09,2.10,2.10,2.40,0.00,0.00,1.15,"",0,0.0,41,2.4,30,1.7,50,2.9,1946500,5.6,0,0.0,0,0.0,50,3.2
"01000","2","54","54","0","2017","1","N","Alabama -- Statewide","State Government","NAICS 54 Professional and technical services","State, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.17,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","2","54","54","0","2017","2","N","Alabama -- Statewide","State Government","NAICS 54 Professional and technical services","State, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.17,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","54","54","0","2017","1","","Alabama -- Statewide","Local Government","NAICS 54 Professional and technical services","State, NAICS Sector -- by ownership sector","All establishment sizes",15,398,407,405,4600047,586175,13357,877,"",1.13,1.32,1.34,1.33,1.09,1.32,3.38,0.82,"",1,7.1,49,14.0,57,16.3,58,16.7,1458260,46.4,315820,116.8,7482,127.4,184,26.6
"01000","3","54","54","0","2017","2","","Alabama -- Statewide","Local Government","NAICS 54 Professional and technical services","State, NAICS Sector -- by ownership sector","All establishment sizes",16,409,405,403,4948478,69129,1470,938,"",1.21,1.33,1.32,1.29,1.15,0.56,1.97,0.88,"",2,14.3,65,18.9,59,17.1,61,17.8,1823190,58.3,17073,32.8,-503,-25.5,239,34.2
"01000","5","54","54","0","2017","1","","Alabama -- Statewide","Private","NAICS 54 Professional and technical services","State, NAICS Sector -- by ownership sector","All establishment sizes",13405,99933,100995,101094,1855833227,737332059,11278055,1418,"",0.91,0.84,0.84,0.83,0.82,0.78,0.80,0.98,"",300,2.3,1595,1.6,1930,1.9,2714,2.8,146793031,8.6,28078387,4.0,-471710,-4.0,85,6.4
"01000","5","54","54","0","2017","2","","Alabama -- Statewide","Private","NAICS 54 Professional and technical services","State, NAICS Sector -- by ownership sector","All establishment sizes",13595,101227,99981,100352,1852725690,105303004,1747964,1418,"",0.91,0.83,0.84,0.83,0.83,0.65,0.76,0.99,"",317,2.4,2235,2.3,2638,2.7,2964,3.0,97847201,5.6,1103048,1.1,-89892,-4.9,39,2.8
"01001","5","54","74","0","2017","1","","Autauga County, Alabama","Private","NAICS 54 Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",68,238,248,245,2690061,1501536,31172,849,"",0.66,0.35,0.37,0.36,0.25,0.34,0.45,0.70,"",3,4.6,37,18.4,33,15.3,27,12.4,781178,40.9,237979,18.8,2237,7.7,154,22.2
"01001","5","54","74","0","2017","2","","Autauga County, Alabama","Private","NAICS 54 Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",68,246,226,222,2952846,396063,9657,982,"",0.66,0.36,0.34,0.33,0.29,0.46,0.91,0.86,"",2,3.0,32,15.0,30,15.3,23,11.6,595901,25.3,19049,5.1,1652,20.6,89,10.0
